lion 사자
tiger 호랑이
lemon 레몬
pencil 연필
dog 개
cat 고양이
fish 물고기
balloon 풍선
baby 아기
aunt 아주머니
calendar 달력
cake 케이크
camera 카메라
camp 캠프
candle 양초
candy 사탕
cap 모자
car 자동차
card 카드
case 케이스
course 과정
cousin 사촌
cow 소
crayon 크레용
cream 크림
clock 시계
cloth 옷
club 클럽
coat 코트
coffee 커피
address 주소
banana 바나나
chicken 닭
dad 아버지
egg 달걀
face 얼굴
game 오락
hair 머리칼
ink 잉크
job 직업
afternoon 오후
bank 은행
child 어린이
dance 춤
eraser 지우개
fact 사실
garden 정원
hamburger 햄버거
island 섬
juice 음료수
age 나이
bath 목욕
chopstick 젓가락
date 날짜
evening 저녁
fall 가을
gate 출입구
hand 손
idea 생각
jacket 외투
airport 공항
beach 해변
church 교회
daugther 딸
example 예시
family 가족
girl 여아
handle 손잡이
insect 벌레
jungle 밀림
animal 동물
bear 곰
circle 원
desk 책상
exercise 운동
farm 농장
glass 유리
hat 모자
issue 화제
jail 감옥
answer 답
bed 침대
city 도시
diary 일기
eye 눈
film 영화
gold 금
head 머리
iron 철
joke 농담
apple 사과
bench 의자
class 교실
death 죽음
end 끝
finger 손가락
grape 포도
holiday 휴일
ice 얼음
jam 잼
